fit_power_watt,frequency_Hz
1.1769799885527528e-09,202901450.7253627
1.1769815673490989e-09,203301650.82541272
1.1769831584552528e-09,203701850.92546275
1.176984761999455e-09,204102051.02551275
1.176986378111646e-09,204502251.1255628
1.1769880069234528e-09,204902451.22561282
1.1769896485682219e-09,205302651.32566285
1.1769913031810726e-09,205702851.42571288
1.1769929708988923e-09,206103051.5257629
1.1769946518603796e-09,206503251.62581292
1.1769963462060828e-09,206903451.72586295
1.1769980540784055e-09,207303651.82591298
1.1769997756216633e-09,207703851.92596298
1.1770015109820798e-09,208104052.02601302
1.1770032603078632e-09,208504252.12606305
1.177005023749197e-09,208904452.22611308
1.1770068014582928e-09,209304652.32616308
1.1770085935894196e-09,209704852.42621312
1.1770104002989273e-09,210105052.52626315
1.1770122217453095e-09,210505252.62631318
1.1770140580891898e-09,210905452.72636318
1.1770159094934217e-09,211305652.8264132
1.1770177761230514e-09,211705852.92646325
1.1770196581454127e-09,212106053.02651328
1.1770215557301434e-09,212506253.12656328
1.1770234690492168e-09,212906453.2266133
1.1770253982769917e-09,213306653.32666335
1.1770273435902455e-09,213706853.42671338
1.177029305168212e-09,214107053.5267634
1.177031283192641e-09,214507253.6268134
1.1770332778478158e-09,214907453.72686344
1.177035289320602e-09,215307653.82691348
1.177037317800511e-09,215707853.9269635
1.1770393634797273e-09,216108054.0270135
1.1770414265531343e-09,216508254.12706354
1.1770435072184193e-09,216908454.22711357
1.177045605676049e-09,217308654.3271636
1.177047722129377e-09,217708854.4272136
1.1770498567846476e-09,218109054.52726364
1.177052009851097e-09,218509254.62731367
1.1770541815409483e-09,218909454.7273637
1.1770563720694998e-09,219309654.8274137
1.1770585816551662e-09,219709854.92746374
1.177060810519538e-09,220110055.02751377
1.1770630588874334e-09,220510255.1275638
1.177065326986948e-09,220910455.2276138
1.1770676150495349e-09,221310655.32766384
1.17706992331004e-09,221710855.42771387
1.1770722520067685e-09,222111055.5277639
1.1770746013815533e-09,222511255.62781394
1.1770769716798212e-09,222911455.72786394
1.177079363150628e-09,223311655.82791397
1.1770817760467538e-09,223711855.927964
1.177084210624781e-09,224112056.02801403
1.1770866671451083e-09,224512256.12806404
1.1770891458720708e-09,224912456.22811407
1.1770916470740089e-09,225312656.3281641
1.177094171023286e-09,225712856.42821413
1.1770967179964435e-09,226113056.52826414
1.1770992882742057e-09,226513256.62831417
1.1771018821416145e-09,226913456.7283642
1.1771044998880444e-09,227313656.82841423
1.1771071418073511e-09,227713856.92846423
1.177109808197906e-09,228114057.02851427
1.1771124993627014e-09,228514257.1285643
1.1771152156094196e-09,228914457.22861433
1.177117957250551e-09,229314657.32866433
1.1771207246034453e-09,229714857.42871436
1.1771235179904389e-09,230115057.5287644
1.1771263377389188e-09,230515257.62881443
1.177129184181439e-09,230915457.72886446
1.177132057655806e-09,231315657.82891446
1.1771349585051951e-09,231715857.9289645
1.177137887078228e-09,232116058.02901453
1.1771408437290871e-09,232516258.12906456
1.1771438288176523e-09,232916458.22911456
1.177146842709553e-09,233316658.3291646
1.1771498857763173e-09,233716858.42921463
1.1771529583955033e-09,234117058.52926466
1.1771560609507607e-09,234517258.62931466
1.1771591938320002e-09,234917458.7293647
1.1771623574354846e-09,235317658.82941473
1.177165552163984e-09,235717858.92946476
1.177168778426871e-09,236118059.02951476
1.1771720366402713e-09,236518259.1295648
1.1771753272271886e-09,236918459.22961482
1.1771786506176587e-09,237318659.32966486
1.177182007248866e-09,237718859.42971486
1.1771853975652918e-09,238119059.5297649
1.1771888220188843e-09,238519259.62981492
1.1771922810691735e-09,238919459.72986495
1.1771957751834551e-09,239319659.829915
1.1771993048369298e-09,239719859.929965
1.177202870512872e-09,240120060.03001502
1.1772064727027997e-09,240520260.13006505
1.1772101119066228e-09,240920460.2301151
1.1772137886328365e-09,241320660.3301651
1.1772175033986947e-09,241720860.43021512
1.177221256730394e-09,242121060.53026515
1.1772250491632412e-09,242521260.63031518
1.1772288812418624e-09,242921460.7303652
1.1772327535203942e-09,243321660.83041522
1.177236666562678e-09,243721860.93046525
1.1772406209424762e-09,244122061.03051528
1.1772446172436608e-09,244522261.1305653
1.1772486560604544e-09,244922461.23061532
1.1772527379976326e-09,245322661.33066535
1.177256863670751e-09,245722861.43071538
1.177261033706387e-09,246123061.53076538
1.1772652487423597e-09,246523261.63081542
1.1772695094280026e-09,246923461.73086545
1.177273816424369e-09,247323661.83091548
1.177278170404537e-09,247723861.9309655
1.1772825720538268e-09,248124062.03101552
1.1772870220700984e-09,248524262.13106555
1.1772915211640281e-09,248924462.23111558
1.1772960700593733e-09,249324662.3311656
1.1773006694932617e-09,249724862.4312156
1.1773053202165151e-09,250125062.53126565
1.177310022993943e-09,250525262.63131568
1.1773147786046234e-09,250925462.7313657
1.177319587842283e-09,251325662.8314157
1.1773244515155824e-09,251725862.93146574
1.1773293704484638e-09,252126063.03151578
1.1773343454805263e-09,252526263.1315658
1.1773393774673406e-09,252926463.2316158
1.1773444672808398e-09,253326663.33166584
1.1773496158096952e-09,253726863.43171588
1.1773548239597072e-09,254127063.5317659
1.1773600926541824e-09,254527263.6318159
1.1773654228343626e-09,254927463.73186594
1.1773708154598252e-09,255327663.83191597
1.1773762715089423e-09,255727863.931966
1.177381791979285e-09,256128064.03201604
1.177387377888103e-09,256528264.13206604
1.1773930302727951e-09,256928464.23211607
1.1773987501913605e-09,257328664.3321661
1.1774045387229283e-09,257728864.43221614
1.1774103969682403e-09,258129064.53226614
1.1774163260501779e-09,258529264.63231617
1.1774223271142966e-09,258929464.7323662
1.177428401329402e-09,259329664.83241624
1.1774345498880547e-09,259729864.93246624
1.1774407740072386e-09,260130065.03251627
1.1774470749288854e-09,260530265.1325663
1.1774534539205323e-09,260930465.23261634
1.1774599122759384e-09,261330665.33266634
1.1774664513157676e-09,261730865.43271637
